
ALFALFA SPROUTS ORGANIC-UNSPECIFIED,0.22450006/Gr
ALFALFA SPROUTS UNSPECIFIED,0.10576923/Gr
APPLES AMBROSIA,0.96875/lbs
APPLES BRAEBURN,30.0
APPLES CORTLAND,1.1125/lbs
APPLES CRAB,1.2524999/lbs
APPLES DIVINE,1.725/lbs
APPLES EMPIRE,0.9142857/lbs
APPLES ENVY,19.375/lbs
APPLES FUJI,28.75
APPLES GALA,1.2487499/lbs
APPLES GOLDEN DELICIOUS,27.75
APPLES GRANNY SMITH,28.75
APPLES GRAVENSTEIN,1.26875/lbs
APPLES HONEYCRISP,1.1785715/lbs
APPLES JAZZ,1.125/lbs
APPLES JONAGOLD,43.25
APPLES LOBO,13.0/lbs
APPLES MCINTOSH,0.68125/lbs
APPLES NICOLA,1.3650007/lbs
APPLES ORGANIC-AMBROSIA,1.8/lbs
APPLES ORGANIC-BRAEBURN,91.79994
APPLES ORGANIC-FUJI,87.5
APPLES ORGANIC-GOLDEN DELICIOUS,46.375
APPLES ORGANIC-GRANNY SMITH,114.69951
APPLES ORGANIC-MCINTOSH,61.75
APPLES ORGANIC-PINK LADY,2.8387506/lbs
APPLES ORGANIC-RED DELICIOUS,45.27511
APPLES ORGANIC-ROYAL GALA,75.0
APPLES ORGANIC-SPARTAN,13.583333/lbs
APPLES ORGANIC-SUNRISE,61.625
APPLES PACIFIC ROSE,49.100002
APPLES PAULARED,13.0/lbs
APPLES PINK LADY,42.5
APPLES RED DELICIOUS,29.125
APPLES ROYAL GALA,0.61875/lbs
APPLES SALISH,1.3097503/lbs
APPLES SMITTEN,0.63125/lbs
APPLES SPARTAN,24.25
APPLES SUNRISE,1.0/lbs
APPLES SWEETANGO,1.9/lbs
APPLES WINESAP,1.0044445/lbs
APRICOTS ORGANIC-UNSPECIFIED,5.1944447/kg
APRICOTS UNSPECIFIED,1.1875/lbs
ARTICHOKES FIELD-JERUSALEM,4.1600003/lbs
ARTICHOKES G.H.-JERUSALEM,6.55/kg
ARTICHOKES UNSPECIFIED,56.0
ASPARAGUS GREEN,5.736452/lbs
ASPARAGUS ORGANIC-GREEN,6.3863635/lbs
ASPARAGUS PURPLE,2.159091/lbs
ASPARAGUS UNSPECIFIED,4.4545455/lbs
ASPARAGUS WHITE,5.0409217/lbs
AVOCADOS HASS,50.875
AVOCADOS ORGANIC-UNSPECIFIED,25.375
AVOCADOS SLIMCADO,13.5
AVOCADOS UNSPECIFIED,1.965/lbs
BANANAS BABY,1.4663397/lbs
BANANAS BURRO,0.74375/lbs
BANANAS CHIQUITA-DOLE,0.7875/lbs
BANANAS DEL MONTE,0.6954998/lbs
BANANAS ORGANIC-UNSPECIFIED,0.971875/lbs
BANANAS PLANTAINS,0.8/lbs
BANANAS RED,1.01875/lbs
BANANAS UNSPECIFIED,0.6875/lbs
BEAN SPROUTS UNSPECIFIED,0.03397028/Gr
BEANS FAVA,1.8/lbs
BEANS FRENCH,0.0940625/Gr
BEANS GREEN,1.4875/lbs
BEANS ORGANIC-FRENCH,3.9333334/lbs
BEANS ORGANIC-GREEN,2.0125/lbs
BEANS YELLOW,1.7375/lbs
BEETS BCHD,20.375
BEETS ORGANIC-UNSPECIFIED,58.949566
BEETS UNSPECIFIED,0.805/lbs
BEETS YELLOW,1.9435952/lbs
BLACKBERRIES ORGANIC-UNSPECIFIED,0.2344109/Gr
BLACKBERRIES UNSPECIFIED,4.7916665/Oz
BLUEBERRIES ORGANIC-UNSPECIFIED,35.25/lbs
